day,month,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Class
1,6,32,71,12,0.7,57.1,2.5,8.2,0.6,2.8,0.2,no fire
2,6,30,73,13,4,55.7,2.7,7.8,0.6,2.9,0.2,no fire
3,6,29,80,14,2,48.7,2.2,7.6,0.3,2.6,0.1,no fire
4,6,30,64,14,0,79.4,5.2,15.4,2.2,5.6,1,no fire
5,6,32,60,14,0.2,77.1,6,17.6,1.8,6.5,0.9,no fire
6,6,35,54,11,0.1,83.7,8.4,26.3,3.1,9.3,3.1,fire
7,6,35,44,17,0.2,85.6,9.9,28.9,5.4,10.7,6,fire
8,6,28,51,17,1.3,71.4,7.7,7.4,1.5,7.3,0.8,no fire
9,6,27,59,18,0.1,78.1,8.5,14.7,2.4,8.3,1.9,no fire
10,6,30,41,15,0,89.4,13.3,22.5,8.4,13.1,10,fire
11,6,31,42,21,0,90.6,18.2,30.5,13.4,18,16.7,fire
12,6,27,58,17,0,88.9,21.3,37.8,8.7,21.2,12.9,fire
13,6,30,52,15,2,72.3,11.4,7.8,1.4,10.9,0.9,no fire
14,6,27,79,16,0.7,53.4,6.4,7.3,0.5,6.1,0.3,no fire
15,6,28,90,15,0,66.8,7.2,14.7,1.2,7.1,0.6,no fire
16,6,29,87,15,0.4,47.4,4.2,8,0.2,4.1,0.1,no fire
17,6,31,69,17,4.7,62.2,3.9,8,1.1,3.8,0.4,no fire
18,6,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,no fire
19,6,32,67,14,4.5,64.6,4.4,8.2,1,4.2,0.4,no fire
20,6,31,72,14,0.2,60.2,3.8,8,0.8,3.7,0.3,no fire
21,6,32,55,14,0,86.2,8.3,18.4,5,8.2,4.9,fire
22,6,33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,no fire
23,6,33,59,16,0.8,74.2,7,8.3,1.6,6.7,0.8,no fire
24,6,35,68,16,0,85.3,10,17,4.9,9.9,5.3,fire
25,6,34,70,16,0,86,12.8,25.6,5.4,12.7,6.7,fire
26,6,36,62,16,0,87.8,16.5,34.5,7,16.4,9.5,fire
27,6,36,55,15,0,89.1,20.9,43.3,8,20.8,12,fire
28,6,37,37,13,0,92.5,27.2,52.4,11.7,27.1,18.4,fire
29,6,37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,fire
30,6,34,42,15,1.7,79.7,12,8.5,2.2,11.5,2.2,no fire
1,7,28,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,no fire
2,7,33,48,16,0,87.6,7.9,17.8,6.8,7.8,6.4,fire
3,7,34,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,fire
4,7,34,58,18,0,88,13.6,36.8,8,14.1,9.9,fire
5,7,34,45,18,0,90.5,18.7,46.4,11.3,18.7,15,fire
6,7,35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,fire
7,7,38,43,13,0.5,85,13,35.4,4.1,13.7,5.2,fire
8,7,35,47,18,6,80.8,9.8,9.7,3.1,9.4,3,fire
9,7,36,43,15,1.9,82.3,9.4,9.9,3.2,9,3.1,fire
10,7,34,51,16,3.8,77.5,8,9.5,2,7.7,1.3,no fire
11,7,34,56,15,2.9,74.8,7.1,9.5,1.6,6.8,0.8,no fire
12,7,36,44,13,0,90.1,12.6,19.4,8.3,12.5,9.6,fire
13,7,39,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,fire
14,7,37,37,18,0.2,88.9,12.9,14.6,9,12.5,10.4,fire
15,7,34,45,17,0,90.5,18,24.1,10.9,17.7,14.1,fire
16,7,31,83,17,0,84.5,19.4,33.1,4.7,19.2,7.3,fire
17,7,32,81,17,0,84.6,21.1,42.3,4.7,20.9,7.7,fire
18,7,33,68,15,0,86.1,23.9,51.6,5.2,23.9,9.1,fire
19,7,34,58,16,0,88.1,27.8,61.1,7.3,27.7,13,fire
20,7,36,50,16,0,89.9,32.7,71,9.5,32.6,17.3,fire
21,7,36,29,18,0,93.9,39.6,80.6,18.5,39.5,30,fire
22,7,32,48,18,0,91.5,44.2,90.1,13.2,44,25.4,fire
23,7,31,71,17,0,87.3,46.6,99,6.9,46.5,16.3,fire
24,7,33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,no fire
25,7,39,64,9,1.2,73.8,11.7,15.9,1.1,11.4,0.7,no fire
26,7,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1,no fire
27,7,29,87,18,0,80,11.8,28.3,2.8,11.8,3.2,no fire
28,7,33,57,16,0,87.5,15.7,37.6,6.7,15.7,9,fire
29,7,34,59,16,0,88.1,19.5,47.2,7.4,19.5,10.9,fire
30,7,36,56,16,0,88.9,23.8,57.1,8.2,23.8,13.2,fire
31,7,37,55,15,0,89.3,28.3,67.2,8.3,28.3,14.5,fire
1,8,38,52,14,0,78.3,4.4,10.5,2,4.4,0.8,no fire
2,8,40,34,14,0,93.3,10.8,21.4,13.8,10.6,13.5,fire
3,8,39,33,17,0,93.7,17.1,32.1,17.2,16.9,19.5,fire
4,8,38,35,15,0,93.8,23,42.7,15.7,22.9,20.9,fire
5,8,34,42,17,0.1,88.3,23.6,52.5,19,23.5,12.6,fire
6,8,30,54,14,3.1,70.5,11,9.1,1.3,10.5,0.8,no fire
7,8,34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,no fire
8,8,37,56,11,0,87.4,11.2,20.2,5.2,11,5.9,fire
9,8,39,43,12,0,91.7,16.5,30.9,9.6,16.4,12.7,fire
10,8,39,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,fire
11,8,40,31,15,0,94.2,22.5,46.3,16.6,22.4,21.6,fire
12,8,39,21,17,0.4,93,18.4,41.5,15.5,18.4,18.8,fire
13,8,35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,fire
14,8,37,40,13,0,91.9,22.3,55.5,10.8,22.3,15.7,fire
15,8,35,46,13,0.3,83.9,16.9,54.2,3.5,19,5.5,fire
16,8,40,41,10,0.1,92,22.6,65.1,9.5,24.2,14.8,fire
