tree,spp,season,Infected,dbh,SapDepth,BarkThick,NobarkArea,Heartwood,SapArea
1,PICO,Summer,Yes,42.2,8.4,0.3,1359.2,483.1,876.1
2,ABLA,Fall,Yes,13.4,2,0.4,124.7,58.1,66.6
3,ABLA,Summer,No,13.1,1.5,0.3,122.7,70.9,51.8
4,PICO,Spring,No,15,4.1,0.2,167.4,32.2,135.2
5,POTR,Winter,Yes,14.2,3.6,0,158.4,38.5,119.9
6,POTR,Winter,Yes,20,5.9,0,314.2,52.8,261.3
7,ABLA,Summer,Yes,9.1,2.1,0.3,56.7,14.5,42.2
8,ABLA,Spring,No,9.2,2.5,0.5,52.8,8,44.8
9,ABLA,Fall,Yes,27.3,3,0.6,535,317.3,217.7
10,PICO,Fall,No,11.2,3.4,0.3,88.2,11.3,76.9
11,PICO,Spring,Yes,18,5.9,0.3,237.8,24.6,213.2
12,POTR,Summer,No,9,3,0,63.6,7.1,56.5
13,POTR,Spring,No,15.4,4.1,0,186.3,40.7,145.5
14,POTR,Winter,No,24.1,6.2,0,456.2,107.5,348.7
15,PICO,Winter,Yes,24.2,7,0.5,422.7,66.5,356.3
16,PIFL,Fall,No,14.4,4.2,0.5,141,19.6,121.4
17,PIFL,Winter,No,13.1,2.2,0.6,111.2,44.2,67
18,PIFL,Summer,Yes,21.5,5.1,0.6,323.7,80.1,243.5
19,PIFL,Spring,No,13.4,2.2,0.5,120.8,50.3,70.5
20,PIFL,Fall,Yes,16.2,3.5,0.5,181.5,52.8,128.6
