2019/05/08 06:00:00 
STATION,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48 
DBOFS001,-0.066,-0.464,-0.720,-0.768,-0.635,-0.414,-0.112,0.228,0.463,0.553,0.498,0.327,0.071,-0.218,-0.494,-0.610,-0.514,-0.294,0.003,0.349,0.676,0.845,0.852,0.721,0.474,0.122,-0.253,-0.503,-0.549,-0.422,-0.224,0.043,0.321,0.501,0.544,0.450,0.252,-0.042,-0.330,-0.535,-0.566,-0.411,-0.151,0.206,0.551,0.793,0.901,0.838 
DBOFS002,0.143,-0.275,-0.635,-0.829,-0.785,-0.603,-0.275,0.123,0.433,0.638,0.656,0.503,0.232,-0.088,-0.398,-0.622,-0.654,-0.475,-0.174,0.222,0.610,0.890,0.995,0.905,0.661,0.307,-0.073,-0.421,-0.604,-0.557,-0.386,-0.087,0.252,0.519,0.669,0.629,0.446,0.138,-0.195,-0.475,-0.619,-0.543,-0.324,0.053,0.468,0.801,1.013,1.018 
DBOFS003,0.143,-0.275,-0.635,-0.829,-0.785,-0.603,-0.275,0.123,0.433,0.638,0.656,0.503,0.232,-0.088,-0.398,-0.622,-0.654,-0.475,-0.174,0.222,0.610,0.890,0.995,0.905,0.661,0.307,-0.073,-0.421,-0.604,-0.557,-0.386,-0.087,0.252,0.519,0.669,0.629,0.446,0.138,-0.195,-0.475,-0.619,-0.543,-0.324,0.053,0.468,0.801,1.013,1.018 
DBOFS004,0.310,-0.094,-0.476,-0.776,-0.899,-0.748,-0.433,-0.002,0.372,0.662,0.760,0.633,0.358,0.022,-0.297,-0.580,-0.732,-0.635,-0.335,0.092,0.495,0.871,1.070,1.039,0.792,0.443,0.075,-0.292,-0.564,-0.673,-0.523,-0.215,0.170,0.497,0.727,0.756,0.581,0.279,-0.061,-0.371,-0.607,-0.668,-0.474,-0.099,0.348,0.754,1.049,1.140 
DBOFS005,0.323,-0.082,-0.463,-0.769,-0.906,-0.760,-0.443,-0.009,0.369,0.665,0.770,0.645,0.368,0.031,-0.290,-0.575,-0.735,-0.648,-0.347,0.087,0.491,0.872,1.079,1.054,0.806,0.454,0.085,-0.282,-0.558,-0.681,-0.534,-0.222,0.167,0.499,0.734,0.770,0.595,0.292,-0.049,-0.361,-0.602,-0.676,-0.484,-0.105,0.344,0.755,1.054,1.152 
DBOFS006,0.393,-0.018,-0.399,-0.724,-0.920,-0.829,-0.504,-0.070,0.332,0.657,0.810,0.709,0.422,0.076,-0.258,-0.546,-0.743,-0.731,-0.424,0.029,0.451,0.850,1.104,1.120,0.869,0.511,0.134,-0.227,-0.529,-0.713,-0.607,-0.280,0.124,0.485,0.748,0.827,0.659,0.354,0.008,-0.312,-0.574,-0.706,-0.546,-0.161,0.294,0.732,1.063,1.202 
DBOFS007,0.473,0.058,-0.319,-0.648,-0.887,-0.929,-0.598,-0.159,0.271,0.616,0.832,0.791,0.497,0.136,-0.206,-0.500,-0.733,-0.817,-0.526,-0.071,0.381,0.780,1.090,1.178,0.950,0.579,0.190,-0.164,-0.482,-0.711,-0.718,-0.369,0.046,0.433,0.727,0.868,0.739,0.427,0.072,-0.255,-0.532,-0.718,-0.651,-0.258,0.209,0.662,1.036,1.235 
DBOFS008,0.546,0.135,-0.245,-0.575,-0.828,-0.945,-0.678,-0.228,0.219,0.575,0.827,0.843,0.566,0.201,-0.145,-0.448,-0.697,-0.826,-0.608,-0.143,0.325,0.724,1.067,1.205,1.022,0.644,0.254,-0.104,-0.428,-0.670,-0.755,-0.443,-0.010,0.394,0.704,0.884,0.805,0.494,0.136,-0.196,-0.482,-0.695,-0.713,-0.336,0.146,0.602,0.997,1.237 
DBOFS009,0.663,0.268,-0.105,-0.434,-0.692,-0.873,-0.817,-0.335,0.116,0.497,0.788,0.891,0.673,0.308,-0.031,-0.337,-0.596,-0.767,-0.739,-0.255,0.214,0.624,0.998,1.213,1.134,0.753,0.376,0.020,-0.301,-0.553,-0.719,-0.581,-0.104,0.309,0.647,0.880,0.891,0.605,0.255,-0.077,-0.367,-0.601,-0.716,-0.463,0.036,0.496,0.914,1.212 
DBOFS010,0.693,0.297,-0.074,-0.398,-0.656,-0.847,-0.846,-0.365,0.087,0.474,0.774,0.897,0.704,0.337,-0.005,-0.309,-0.566,-0.745,-0.761,-0.285,0.184,0.598,0.977,1.208,1.158,0.783,0.404,0.047,-0.269,-0.521,-0.699,-0.619,-0.128,0.288,0.631,0.874,0.907,0.634,0.284,-0.049,-0.338,-0.573,-0.705,-0.504,0.010,0.467,0.889,1.200 
