station,lon,lat,mhhwtomsl,navd88tomsl,mllwtomsl,mhhw,mllw,maxpred,maxovermhhw
DBOFS022       ,-75.393375,39.194845,3.10695548,0.210958012,-2.7467,2.895997468,-2.9577,4.43569568,1.53969568
DBOFS001       ,-75.149895,38.792185,2.488845224,0.377952768,-2.1168,2.110892456,-2.4948,3.62204736,1.51004736
DBOFS002       ,-75.302393,38.944472,2.752296676,0.291666676,-2.3451,2.46063,-2.6368,4.04855656,1.58755656
DBOFS003       ,-75.308794,38.954713,2.771981716,0.287729668,-2.3543,2.484252048,-2.6421,4.04855656,1.56455656
DBOFS004       ,-75.385826,39.057362,2.994422668,0.24770342,-2.5801,2.746719248,-2.8278,4.2979004,1.5509004
DBOFS005       ,-75.395226,39.074728,3.009514532,0.241797908,-2.6043,2.767716624,-2.8461,4.32414712,1.55614712
DBOFS006       ,-75.400726,39.159651,3.07906834,0.219160112,-2.7185,2.859908228,-2.9377,4.40944896,1.54944896
DBOFS007       ,-75.410322,39.245596,3.160105088,0.192585308,-2.8166,2.96751978,-3.0092,4.5603676,1.5923676
DBOFS008       ,-75.433964,39.296985,3.196194328,0.1722441,-2.8675,3.023950228,-3.0397,4.67191616,1.64791616
DBOFS009       ,-75.507116,39.364713,3.279527664,0.137139112,-2.9101,3.142388552,-3.0472,4.7244096,1.5824096
DBOFS010       ,-75.519896,39.390289,3.284448924,0.126640424,-2.9078,3.1578085,-3.0344,4.70472456,1.54672456
DBOFS011       ,-75.569498,39.440222,3.284777008,0.098753284,-2.8875,3.186023724,-2.9862,4.5603676,1.3743676
DBOFS012       ,-75.577021,39.450502,3.27919958,0.093175856,-2.8802,3.186023724,-2.9734,4.57349096,1.38749096
DBOFS013       ,-75.584475,39.48879,3.234580156,0.078083992,-2.8432,3.156496164,-2.9213,4.6095802,1.4525802
DBOFS014       ,-75.563858,39.561076,3.047572276,0.047244096,-2.7228,3.00032818,-2.77,4.48818912,1.48818912
DBOFS015       ,-75.5916,39.584147,3.013779624,0.03444882,-2.7044,2.979330804,-2.7388,4.51771668,1.53871668
DBOFS016       ,-75.611217,39.605008,3.019357052,0,-2.6808,3.019357052,-2.6808,4.52427836,1.50527836
DBOFS017       ,-75.583162,39.649981,3.022309808,0,-2.6414,3.022309808,-2.6414,4.45209988,1.43009988
DBOFS018       ,-75.548693,39.670585,3.038714008,-0.035104988,-2.6401,3.073818996,-2.605,4.4127298,1.3387298
DBOFS019       ,-75.11071,38.798324,2.459645748,0.386154868,-2.0699,2.07349088,-2.456,3.52362216,1.44962216
DBOFS020       ,-75.267036,38.87996,2.69192922,0.315616808,-2.292,2.376312412,-2.6076,3.89107624,1.51407624
DBOFS021       ,-75.375479,39.042201,2.991469912,0.253280848,-2.5725,2.738189064,-2.8258,4.27165368,1.53365368
DBOFS023       ,-75.572121,39.5164032,3.177821,0.06988,-2.8094,3.1079,-2.87928,3.34317596,0.23527596
