Lat,Lon,Elev,APJan,APFeb,APMar,APApr,APMay,APJun,APJul,APAug,APSep,APOct,APNov,APDec
45.29999924,-111.9499969,1761,0.046,0.031,0.063,0.089,0.155,0.167,0.101,0.087,0.094,0.07,0.056,0.041
44.59999847,-111.8000031,2045,0.083,0.054,0.086,0.075,0.115,0.157,0.067,0.081,0.081,0.063,0.061,0.077
43.96670151,-111.7166977,1509,0.107,0.08,0.071,0.082,0.11,0.113,0.052,0.066,0.063,0.063,0.088,0.104
45.34999847,-111.7166977,1510,0.029,0.029,0.055,0.085,0.16,0.192,0.094,0.098,0.107,0.075,0.042,0.033
45.48329926,-111.6333008,1446,0.039,0.033,0.07,0.105,0.173,0.164,0.079,0.079,0.094,0.081,0.05,0.033
45.95000076,-111.4832993,1230,0.038,0.027,0.052,0.082,0.175,0.192,0.089,0.1,0.11,0.069,0.041,0.024
44.06669998,-111.4499969,1591,0.115,0.097,0.076,0.074,0.101,0.099,0.041,0.064,0.06,0.068,0.091,0.113
44.41669846,-111.4000015,1920,0.145,0.104,0.094,0.07,0.08,0.088,0.039,0.057,0.055,0.057,0.083,0.126
44.86669922,-111.3332977,1978,0.118,0.087,0.084,0.067,0.095,0.112,0.054,0.068,0.063,0.058,0.082,0.112
43.84999847,-111.2667007,1881,0.089,0.068,0.063,0.073,0.116,0.122,0.068,0.084,0.078,0.081,0.066,0.091
45.46670151,-111.25,1654,0.048,0.041,0.078,0.111,0.159,0.145,0.067,0.069,0.095,0.088,0.056,0.044
43.34999847,-111.2166977,1641,0.107,0.085,0.076,0.078,0.105,0.105,0.052,0.072,0.074,0.066,0.076,0.103
44.45000076,-111.1500015,1200,0.131,0.102,0.134,0.092,0.069,0.062,0.033,0.039,0.046,0.066,0.098,0.128
45.78329849,-111.1500015,1357,0.048,0.034,0.066,0.083,0.162,0.177,0.074,0.085,0.097,0.083,0.051,0.04
43.73329926,-111.1166992,1864,0.094,0.067,0.067,0.077,0.121,0.129,0.062,0.079,0.079,0.072,0.062,0.092
44.65000153,-111.0999985,2031,0.108,0.074,0.078,0.067,0.097,0.118,0.062,0.072,0.069,0.064,0.085,0.106
44.5,-111.0500031,2362,0.169,0.096,0.114,0.073,0.059,0.082,0.032,0.055,0.059,0.059,0.078,0.123
45.66669846,-111.0500031,1480,0.049,0.034,0.074,0.097,0.159,0.156,0.07,0.078,0.097,0.087,0.059,0.04
43.76670074,-111.0333023,1960,0.091,0.068,0.072,0.092,0.115,0.115,0.054,0.079,0.078,0.078,0.074,0.085
45.81669998,-110.8833008,1814,0.083,0.062,0.078,0.089,0.124,0.132,0.054,0.067,0.085,0.078,0.072,0.075
44.09999847,-110.8499985,2214,0.137,0.101,0.097,0.079,0.079,0.068,0.036,0.043,0.054,0.058,0.112,0.137
44.45000076,-110.8332977,2453,0.109,0.09,0.118,0.058,0.112,0.051,0.086,0.081,0.078,0.049,0.071,0.097
43.46670151,-110.7667007,1903,0.106,0.067,0.07,0.07,0.114,0.114,0.054,0.075,0.075,0.072,0.075,0.109
43.66669846,-110.7166977,1972,0.134,0.094,0.071,0.071,0.086,0.103,0.033,0.056,0.082,0.059,0.096,0.115
45.09999847,-110.6999969,1615,0.053,0.034,0.045,0.072,0.14,0.158,0.109,0.113,0.102,0.072,0.049,0.053
44.96670151,-110.6999969,1899,0.086,0.053,0.071,0.076,0.121,0.134,0.078,0.098,0.081,0.058,0.068,0.076
44.13330078,-110.6667023,2098,0.135,0.12,0.109,0.065,0.059,0.067,0.046,0.042,0.047,0.067,0.097,0.146
45.06669998,-110.6500015,1966,0.092,0.065,0.049,0.081,0.112,0.148,0.081,0.067,0.09,0.063,0.067,0.085
44.25,-110.6110992,2332,0.157,0.105,0.108,0.08,0.066,0.063,0.028,0.038,0.045,0.052,0.115,0.14
43.84999847,-110.5832977,2072,0.146,0.096,0.086,0.078,0.08,0.071,0.042,0.052,0.061,0.063,0.096,0.129
45.48329926,-110.5667038,1484,0.046,0.031,0.06,0.084,0.168,0.156,0.084,0.094,0.103,0.082,0.05,0.041
45.66669846,-110.5500031,1369,0.052,0.034,0.067,0.093,0.162,0.149,0.085,0.082,0.095,0.088,0.057,0.036
45.70000076,-110.4332962,1418,0.039,0.029,0.058,0.084,0.181,0.162,0.086,0.092,0.102,0.086,0.05,0.031
43.23329926,-110.4332962,1982,0.137,0.094,0.101,0.063,0.074,0.079,0.047,0.063,0.06,0.061,0.088,0.132
44.91669846,-110.4167023,1910,0.084,0.057,0.066,0.073,0.111,0.13,0.091,0.091,0.084,0.066,0.066,0.082
44.54999924,-110.4000015,2366,0.111,0.073,0.081,0.067,0.085,0.113,0.065,0.087,0.077,0.067,0.073,0.097
45.73329926,-110.2332993,1287,0.038,0.026,0.05,0.091,0.19,0.175,0.079,0.076,0.105,0.091,0.047,0.032
44.90000153,-110.2332993,1972,0.076,0.047,0.054,0.063,0.117,0.167,0.101,0.095,0.104,0.06,0.05,0.066
44.20000076,-110.1500015,2792,0.152,0.091,0.108,0.095,0.087,0.052,0.043,0.035,0.065,0.056,0.104,0.113
45,-110,2194,0.1,0.075,0.069,0.087,0.101,0.119,0.071,0.072,0.077,0.057,0.081,0.089
45.04999924,-109.9499969,2774,0.152,0.097,0.097,0.087,0.078,0.071,0.042,0.039,0.055,0.058,0.1,0.123
45.83330154,-109.9499969,1250,0.044,0.028,0.052,0.096,0.194,0.174,0.07,0.08,0.093,0.085,0.049,0.034
